SERIALNO,SPORDER,WGTP,PWGTP,HINCP,AGEP,NP,ST,TEN,VEH,MAR,SCHL,SEX,DIS,ESR,INDP,OCCP,RAC1P
2021HU0960662,2,6,12,9200,15,3,40,2,0,5,10,1,2,b,000N,000N,3
2019HU0382960,2,10,12,150000,35,4,06,1,3,1,21,2,2,1,7270,5000,1
2022HU0394794,3,12,15,121000,21,3,12,3,2,5,16,2,2,1,5080,4760,1
2022GQ0038493,1,0,24,-60000,20,1,06,b,b,5,19,1,2,6,8590,4420,6
2022HU0017266,5,8,7,60000,0,5,26,3,2,5,bb,1,2,b,000N,000N,1
2022HU1339797,1,30,29,47100,23,3,39,3,3,5,19,2,2,3,7870,2205,2
2021HU0847389,1,8,8,30200,77,1,17,1,1,3,19,2,2,6,000N,000N,1
2019HU1341313,1,19,20,120900,65,2,19,2,2,1,16,2,2,1,3895,0150,1
2021HU1261193,3,38,27,80400,21,3,22,1,3,5,19,2,2,1,9470,3870,1
2019HU0957096,2,16,16,205000,40,4,39,1,3,1,20,2,2,6,000N,000N,1
2022HU1219660,5,5,3,112000,7,5,01,3,4,5,03,1,2,b,000N,000N,1
2018HU0430687,4,7,7,42200,63,4,19,3,2,3,19,1,1,6,7890,9640,1
2022HU0836819,4,25,24,40000,21,5,06,3,3,5,16,1,2,6,9570,5310,1
2019HU0916899,2,17,12,22400,78,2,13,3,2,1,13,1,1,6,000N,000N,1
2018HU0400490,3,14,23,70000,23,3,08,1,3,5,22,2,2,6,7280,0800,1
2020HU0994417,1,12,12,197800,51,2,53,1,2,1,21,2,2,1,7870,0110,1
2019HU0334657,1,38,38,29000,61,2,48,2,1,1,20,1,1,1,6190,9142,2
2021HU0598136,1,10,9,131700,69,2,41,1,2,1,18,1,2,6,9180,0630,1
2022HU0575640,7,35,31,67800,78,7,06,1,3,2,01,2,1,6,000N,000N,8
2019GQ0047523,1,0,5,-60000,19,1,06,b,b,5,19,2,2,1,7870,4640,1
2020HU0139857,2,36,18,58100,31,3,20,3,2,5,19,1,2,1,0670,1980,1
2022HU0742657,1,10,10,60000,47,4,12,1,1,3,20,2,2,1,7870,0630,1
2021HU0854304,1,13,14,260,44,3,01,3,1,4,16,2,2,6,8590,4720,1
2021HU0431756,4,16,20,237000,20,4,39,1,4,5,19,2,2,1,7390,0630,9
2021HU0106962,4,24,36,98000,16,4,29,1,4,5,14,2,2,6,000N,000N,1
2019HU1312146,3,20,20,306000,41,5,09,1,4,3,23,2,2,1,8090,3258,1
2020HU0658041,1,15,14,9700,87,1,42,3,0,2,01,2,2,6,000N,000N,1
2019HU0872127,4,10,12,46800,1,5,29,3,3,5,bb,2,2,b,000N,000N,1
2018HU0617552,2,45,50,74000,22,2,42,1,2,5,16,1,2,1,8780,9610,2
2021HU0768290,1,15,15,60850,71,5,15,2,3,1,19,1,2,6,000N,000N,6
2018HU0242920,1,16,16,133000,53,2,21,1,2,1,22,2,2,1,7860,2310,1
2022HU1127858,4,18,32,63000,0,4,12,1,2,5,bb,1,2,b,000N,000N,1
2018HU1110695,5,6,4,122000,8,6,37,1,2,5,05,1,2,b,000N,000N,1
2018HU0293563,3,39,41,190300,4,4,48,1,2,5,02,1,2,b,000N,000N,1
2021HU0220402,2,5,5,181000,50,3,06,1,3,1,18,2,2,1,3370,7720,6
2018HU0429804,2,9,29,104620,81,2,36,2,1,3,16,2,1,6,000N,000N,1
2020HU0505900,2,8,9,175000,34,4,39,2,2,1,21,2,2,1,7860,2310,1
2019HU1411711,2,20,20,58300,73,2,45,2,2,1,16,2,2,6,000N,000N,1
2019HU1047623,2,6,7,95000,32,5,53,1,2,1,18,2,2,6,000N,000N,1
2019HU0813422,1,10,10,181600,49,4,39,1,2,1,21,1,2,1,6870,0120,1
2018HU0592697,1,19,19,149000,41,1,53,1,1,5,16,1,2,2,0770,6200,1
2021HU0975441,3,15,28,77640,22,3,40,2,4,5,16,1,2,1,0770,6260,1
2021HU0521145,1,18,18,79600,44,4,13,1,2,1,19,2,2,1,7390,0700,2
2022HU0985867,1,11,11,44000,32,1,06,3,1,5,22,1,2,1,7071,4920,6
2022HU0906550,2,27,29,17600,67,2,26,1,2,1,16,2,2,6,7590,5860,1
2019GQ0004012,1,0,14,-60000,20,1,18,b,b,5,19,2,2,6,0770,6260,1
2019GQ0116122,1,0,33,-60000,19,1,06,b,b,5,19,2,2,6,8590,4600,1
2021HU0783337,1,11,12,6400,67,2,12,1,2,1,20,1,2,6,000N,000N,1
2018HU0232541,7,69,54,167400,21,7,09,3,6,5,19,1,2,1,8680,9130,1
2022HU1040292,2,21,21,111200,67,2,10,1,2,1,19,2,2,6,2290,5240,1
2018HU0494364,2,11,12,185000,36,2,51,1,2,1,22,1,2,1,9590,5000,1
2020HU1020363,3,11,13,149500,54,3,47,1,3,5,19,1,2,1,7071,2170,1
2018HU0192883,4,13,11,183100,12,4,06,2,2,5,09,2,2,b,000N,000N,1
2018HU0765426,2,93,173,69900,28,3,48,3,2,1,16,1,2,1,6380,9620,1
2018HU0358108,1,13,13,66800,70,3,13,2,2,1,16,1,2,6,000N,000N,2
2022HU0138562,3,50,50,173000,15,3,48,3,2,5,12,1,2,b,000N,000N,1
2018HU0492487,3,22,18,95400,14,3,48,1,3,5,12,1,2,b,000N,000N,9
2022HU0801773,2,13,14,175000,31,2,06,1,3,1,19,1,2,1,9470,3870,1
2019HU0631373,3,28,26,110000,17,3,12,2,1,5,14,1,2,6,000N,000N,1
2019HU0173366,3,17,16,276000,25,3,48,1,3,5,19,1,2,1,9160,2060,1
2021HU1228378,3,13,12,185000,15,5,39,1,2,5,12,1,2,b,000N,000N,1
2019GQ0104247,1,0,27,-60000,18,1,17,b,b,5,18,2,2,6,8590,4435,1
2021HU1015906,2,82,44,67200,26,2,39,3,2,5,21,1,2,1,6380,5510,1
