SCHL,n,mean_val,med_val,q1_val,q3_val
01,465,91048.43010752689,68000,33900,120000
02,220,133542.22727272726,105000,60900,168900
03,188,113940.05319148937,78350,44250,140175
04,170,106128.64705882352,85850,48605,136000
05,175,114555.31428571428,83500,42750,139000
06,188,114232.0744680851,94000,48450,140300
07,165,118503.51515151515,91000,44000,166740
08,216,115060.27777777778,81100,43875,135125
09,292,118382.7397260274,89000,44000,144925
10,208,102600.33653846153,71400,38825,132875
11,294,115955.37414965987,85015,38182.5,141600
12,328,92140.45731707317,70300,29825,121550
13,353,99549.51841359773,58600,28500,120000
14,346,90548.09248554913,64700,35175,108000
15,274,79780.94890510949,55925,31425,106875
16,2711,83232.0250829952,65000,36005,105550
17,440,80189.16818181818,63125,32800,96325
18,859,92983.24796274738,72300,41900,113900
19,1558,95926.63543003851,73000,43200,122000
20,954,97949.96855345913,81950,49250,125750
21,2529,136406.16607354686,109850,64600,170000
22,1111,155747.43294329432,127000,74350,187000
23,240,234165.83333333334,175250,93000,302000
24,195,184650.46153846153,143000,91050,223915
bb,428,111517.95327102803,80000,48500,132250
