INDP,n
000N,6007
7860,591
0770,581
8680,486
8191,357
7870,242
9470,195
7380,192
4971,150
8590,137
7071,136
6170,134
8090,122
5391,114
8470,114
7390,112
7970,109
6870,107
8370,103
7290,96
7270,92
6991,89
7690,83
7280,80
8270,79
7770,78
0170,74
9160,74
9170,73
3570,71
8170,70
8660,70
9370,68
6970,67
4670,65
8770,61
9920,61
4870,60
9480,60
5170,58
6380,58
7580,58
8180,56
8290,56
6992,53
8980,53
6370,52
3291,51
7890,51
5580,49
6890,46
4470,45
6290,45
6390,45
7980,43
5070,42
7460,42
9570,42
0180,41
0570,41
7680,41
9290,41
9590,41
3980,39
3580,36
3960,36
2190,35
8570,34
3390,33
7590,33
9090,32
7470,31
5090,30
5381,30
0490,29
6070,29
8990,29
3895,28
5593,28
2370,27
4270,27
4770,27
6570,27
1180,25
2880,25
3490,25
7780,25
1990,24
3990,24
6680,24
7670,24
4795,23
7370,23
2980,22
4890,22
5275,22
6180,22
6670,22
7480,22
8080,22
6190,21
7490,21
8870,21
9380,21
2290,20
8564,20
0670,19
1370,19
4690,19
5080,19
7072,19
9490,19
6770,18
7790,18
2670,16
4170,16
4880,16
5790,16
4972,15
6080,15
3380,14
4090,14
4195,14
5490,14
1691,13
2870,13
3875,13
8561,13
8562,13
8670,13
8780,13
0680,12
1270,12
1280,12
2070,12
4070,12
4380,12
7570,12
9070,12
1070,11
3080,11
4580,11
4980,11
5570,11
6880,11
8563,11
1870,10
2770,10
3170,10
3180,10
5190,10
9390,10
9670,10
3370,9
4990,9
5480,9
6480,9
6695,9
7080,9
8690,9
8891,9
9080,9
1190,8
1480,8
2490,8
2570,8
5180,8
5690,8
6690,8
7990,8
8380,8
8390,8
9190,8
9680,8
0470,7
2280,7
3680,7
4265,7
4590,7
4680,7
5370,7
6270,7
6672,7
7190,7
0290,6
0370,6
0380,6
2170,6
2380,6
2590,6
3070,6
3365,6
4390,6
4490,6
5280,6
7880,6
8070,6
8192,6
0280,5
1090,5
1170,5
2680,5
2970,5
3470,5
3970,5
4280,5
4480,5
8790,5
9180,5
9690,5
9770,5
0270,4
0580,4
1080,4
1890,4
2480,4
2890,4
3770,4
4290,4
4560,4
4570,4
4780,4
6470,4
0590,3
1880,3
2780,3
3590,3
3690,3
4585,3
5470,3
5680,3
6490,3
6590,3
6780,3
7181,3
8970,3
0690,2
1570,2
1790,2
2180,2
2270,2
2790,2
3095,2
4180,2
4370,2
5295,2
5670,2
8580,2
0190,1
1290,1
1470,1
1490,1
1590,1
1670,1
2090,1
2390,1
2470,1
2690,1
3780,1
4080,1
6090,1
6280,1
9780,1
9870,1
