OCCP,n
000N,6007
9130,233
0440,226
2310,194
3255,182
4720,166
4760,165
9620,150
4700,144
5740,143
5240,139
4020,130
4220,129
4110,118
2545,108
0800,104
6260,101
9645,97
1021,96
5400,90
3602,87
2205,86
5120,77
4850,76
5860,74
0120,73
2320,73
4600,71
0010,69
4230,69
4251,69
5000,69
6230,69
9920,61
4710,60
2100,59
0220,58
3603,57
8990,57
0310,56
4920,56
0230,55
0020,54
4030,54
2300,52
3090,52
3870,51
7750,50
6050,49
0205,48
0710,48
7200,47
6355,46
7700,46
4840,44
2360,43
3930,43
4510,43
8740,42
0630,41
4055,41
0410,40
1050,39
1530,39
6200,39
0052,37
6442,36
7340,36
9600,36
5610,35
5940,35
0705,34
2014,34
0051,33
1108,33
8140,33
1555,32
2002,32
1006,31
3500,31
6410,31
0110,30
1360,30
4810,30
5110,30
9610,30
3740,29
0350,28
3645,28
7315,28
9640,28
2634,27
4350,27
8030,27
0420,26
0750,26
2040,26
3601,26
4621,26
5550,26
0565,25
5510,25
4000,24
1010,23
4040,23
0136,22
0850,22
3258,22
4965,22
0160,21
2145,21
3160,21
8225,21
0735,20
5810,20
6305,20
1460,19
2640,19
4010,19
7210,19
7330,19
0910,18
3960,18
4140,18
5600,18
0300,17
2555,17
3050,17
9005,17
9121,17
9142,17
1305,16
2350,16
2710,16
7640,16
1430,15
2330,15
3421,15
4622,15
0530,14
0845,14
1760,14
2016,14
2435,14
2722,14
3802,14
4150,14
4200,14
7810,14
1105,13
1240,13
1650,13
1970,13
2752,13
3245,13
3300,13
3515,13
4130,13
4435,13
5160,13
5420,13
7220,13
9122,13
0150,12
0520,12
0540,12
0600,12
0650,12
0700,12
1320,12
2060,12
3010,12
3230,12
3630,12
5320,12
7000,12
7140,12
4521,11
5310,11
8255,11
0140,10
0940,10
1410,10
2600,10
2830,10
3545,10
5220,10
5540,10
6220,10
7020,10
8300,10
8320,10
1032,9
1065,9
2015,9
2850,9
2905,9
2910,9
3150,9
4655,9
4820,9
5140,9
5260,9
5410,9
5710,9
5840,9
6730,9
7905,9
8800,9
8810,9
1545,8
2004,8
2025,8
2170,8
2825,8
3250,8
3310,8
3323,8
3424,8
3620,8
4950,8
5330,8
5350,8
6330,8
7800,8
8610,8
9030,8
9150,8
9720,8
0060,7
0340,7
0725,7
1007,7
1541,7
1825,7
2006,7
2050,7
2635,7
3030,7
3110,7
3640,7
3820,7
3940,7
5100,7
5522,7
5720,7
5820,7
6520,7
6660,7
7360,7
7410,7
7720,7
8620,7
8650,7
9365,7
0101,6
0102,6
0860,6
1031,6
1106,6
1350,6
1551,6
1860,6
3322,6
3401,6
3402,6
3605,6
3649,6
3710,6
3910,6
4210,6
4750,6
4830,6
5300,6
5730,6
8100,6
8760,6
9141,6
0726,5
0810,5
1560,5
2400,5
2700,5
2810,5
2920,5
3220,5
3655,5
3720,5
3801,5
4400,5
4900,5
5165,5
5900,5
6825,5
7010,5
7420,5
7430,5
7925,5
8630,5
9510,5
9825,5
0640,4
0960,4
1220,4
1400,4
1420,4
1640,4
1822,4
1900,4
1935,4
2012,4
2180,4
2840,4
2861,4
3520,4
3646,4
3725,4
3946,4
4120,4
4800,4
6040,4
6515,4
6530,4
6850,4
7260,4
7350,4
7855,4
8350,4
8530,4
8640,4
8710,4
8750,4
9210,4
9265,4
9830,4
0040,3
0930,3
1022,3
1310,3
1450,3
1520,3
1720,3
1745,3
1980,3
2001,3
2723,3
2770,3
3000,3
3550,3
3647,3
3648,3
3750,3
3945,3
4240,3
4252,3
4330,3
4461,3
4500,3
4530,3
4540,3
4940,3
5250,3
5360,3
5521,3
5850,3
6115,3
6240,3
7150,3
7300,3
7510,3
7540,3
8000,3
8310,3
8830,3
9050,3
9240,3
9350,3
9410,3
9810,3
0137,2
0335,2
0360,2
0500,2
0820,2
1200,2
1610,2
1920,2
2005,2
2013,2
2105,2
2632,2
2636,2
2721,2
2751,2
2805,2
3040,2
3100,2
3140,2
3256,2
3261,2
3321,2
3330,2
3422,2
3430,2
3610,2
3700,2
3840,2
4522,2
4525,2
5020,2
5040,2
5150,2
5230,2
5500,2
5530,2
5630,2
6010,2
6130,2
6250,2
6360,2
6441,2
6765,2
6950,2
7030,2
7120,2
7130,2
7320,2
7840,2
8365,2
8555,2
8600,2
8920,2
9040,2
9630,2
9650,2
9760,2
9800,2
0135,1
0425,1
0510,1
0900,1
1005,1
1440,1
1600,1
1700,1
1750,1
1821,1
1910,1
2440,1
2633,1
2740,1
2755,1
2862,1
2865,1
3120,1
3324,1
4340,1
4420,1
4465,1
4640,1
4740,1
4930,1
5010,1
5340,1
5560,1
5920,1
6005,1
6400,1
6460,1
6600,1
6700,1
6720,1
6740,1
6800,1
7040,1
7100,1
7240,1
7560,1
7610,1
7730,1
7740,1
7830,1
7850,1
7950,1
8025,1
8040,1
8130,1
8250,1
8256,1
8450,1
8500,1
8540,1
8720,1
8910,1
8930,1
8940,1
8950,1
9110,1
9310,1
9415,1
9430,1
9570,1
