Feature,Gain,Cover,Frequency
VEH,0.2465635325010276,0.06590254740482725,0.09511315185306658
AGEP,0.16407826622772823,0.32169095937389597,0.2869793374877009
NP,0.12283169157905409,0.1020328882532117,0.11424510768557997
TEN3,0.06230072046648438,0.015691197585320147,0.03082978025582158
ESR6,0.05739646015151728,0.014097090755034729,0.022958346999016072
SCHL21,0.027901074951223313,0.016902859491946292,0.014540286432710178
SCHL22,0.02516355370856929,0.014244038055531405,0.011697824423308188
SEX2,0.024200912581172098,0.010787660648226557,0.04537006668853176
TEN2,0.02395469092517823,0.014049046425597376,0.03531212419372472
DIS2,0.018622551774369174,0.011700000351789024,0.02547283262271783
RAC1P2,0.016431255357078865,0.012461472820026244,0.02164644145621515
TEN4,0.015730314422949258,0.014045629046516057,0.007324805947305128
MAR5,0.014809604135507078,0.015169444208522441,0.018366677599212858
SCHL23,0.014094746370625378,0.015350464788682846,0.0036077402427025255
RAC1P9,0.013655354033147027,0.011490334094035217,0.02492620531321745
SCHL16,0.013434314404739042,0.012416142291624055,0.019459932218213623
RAC1P6,0.01328337383584007,0.01370499676102821,0.021318465070514922
RAC1P8,0.012222207976505587,0.01180151661273406,0.01913195583251339
ESR3,0.011444935532321683,0.01212747427040213,0.00787143325680551
SCHL24,0.011007926920948301,0.019110385867328297,0.0038263911665026786
MAR3,0.010505510250533992,0.018697184531937167,0.014758937356510331
SCHL20,0.007247970794129705,0.010739314785340851,0.010604569804307424
SCHL19,0.006698248791651458,0.014382441908324786,0.013119055428009183
MAR2,0.0060515814064672,0.01855717250075258,0.013447031813709412
SCHL12,0.0057265484595614815,0.008211559887809455,0.007434131409205204
MAR4,0.005163212492846947,0.017181878442820965,0.01038591888050727
SCHL18,0.004439572579157466,0.007570499776613971,0.010604569804307424
SCHL15,0.004424804651022774,0.00907052817101369,0.007652782333005357
SCHL14,0.0043151310334486985,0.010682727008200202,0.006450202252104515
SCHL17,0.004106232529737363,0.010119261504380528,0.008308735104405817
ESR2,0.0034927795057862823,0.009796520203494873,0.005138296709303596
SCHL09,0.0032724743368470434,0.008246236234369889,0.006231551328304362
SCHL02,0.002630863711639437,0.012882916069672318,0.00535694763310375
SCHL11,0.002381181797534587,0.012520975420500957,0.006122225866404285
RAC1P3,0.002306038556647474,0.010189719820145349,0.005138296709303596
SCHL08,0.0022769311895210003,0.005440668519757225,0.004482343937903138
SCHL13,0.0020792408705539115,0.01053658379689913,0.00535694763310375
SCHL06,0.002007258941864123,0.008624660712051136,0.0031704383951022194
RAC1P5,0.0018258093905713644,0.01034701976903543,0.0019678583142013774
SCHL03,0.0017861489059759273,0.014204738196096247,0.005138296709303596
RAC1P7,0.0017635490849786718,0.006961402210943755,0.0026238110856018366
SCHL10,0.0016949950694321587,0.006663487163972382,0.004373018476003061
SCHL04,0.0016204412257343776,0.008534100166396209,0.0032797638570022957
SCHL05,0.0015001241534835501,0.00542267702400558,0.0026238110856018366
SCHL07,7.010539781581602e-4,0.006719773407664679,0.0026238110856018366
RAC1P4,4.810807535339774e-4,0.006408188844368033,0.0017492073904012244
ESR4,3.7372768319486664e-4,0.00651161481715263,0.001858532852301301
